Name,Height(in),Weight(lbs),40 yard,Bench press,Vert leap,Broad jump,Shuttle,HOF,Draft Pos,Games,Draft Year
"thomas,fr",74.4,208,4.69,14.0,31.5,111.0,4.35,0.0,,0,1988
"hagy,jo",71.4,190,4.65,4.0,31.5,114.0,4.14,0.0,204.0,28,1988
"jones,ro",73.5,205,4.66,,29.5,110.0,4.26,0.0,,0,1988
"taylor,ke",71.4,193,4.56,14.0,,,,0.0,134.0,103,1988
"allen,er",69.8,181,4.46,14.0,30.5,112.0,4.19,0.0,30.0,217,1988
"cox,gr",71.0,215,4.67,15.0,30.0,114.0,4.34,0.0,,0,1988
"dishman,cr",72.0,173,4.42,7.0,32.5,117.0,4.34,0.0,125.0,199,1988
"williams,ja",71.4,195,4.59,7.0,28.0,102.0,4.41,0.0,42.0,104,1988
"dunlap,je",68.0,175,4.61,13.0,31.0,109.0,4.27,0.0,,0,1988
"hardy,eu",70.4,183,4.89,17.0,32.5,111.0,,0.0,,0,1988
"edwards,br",73.8,196,4.61,9.0,35.5,111.0,4.21,0.0,54.0,122,1988
"washington,tr",70.5,185,4.65,16.0,31.5,109.0,4.56,0.0,,0,1989
"purnsley,er",70.5,186,4.65,11.0,34.0,116.0,4.5,0.0,,0,1989
"lewis,ke",68.8,174,4.7,17.0,29.5,109.0,4.32,0.0,,0,1989
"kramer,ky",74.0,175,4.61,8.0,39.0,124.0,3.95,0.0,114.0,14,1989
"washington,ch",72.4,195,4.72,,35.5,117.0,,0.0,185.0,74,1989
"nettles,mi",70.4,190,4.71,16.0,31.5,112.0,4.32,0.0,184.0,0,1989
"sydnor,ch",69.6,176,4.7,12.0,33.0,110.0,4.23,0.0,,0,1989
"royal,ri",69.3,183,4.54,17.0,34.0,112.0,4.44,0.0,177.0,1,1989
"andrews,mi",71.8,177,4.62,5.0,34.0,121.0,4.53,0.0,137.0,0,1989
"malone,ar",69.5,174,4.75,14.0,31.0,113.0,4.42,0.0,,0,1989
"blount,no",72.8,201,4.57,17.0,37.5,126.0,4.49,0.0,,0,1989
"robinson,ro",70.5,181,4.63,12.0,36.0,119.0,4.59,0.0,,0,1989
"ingram,ch",70.3,175,4.67,11.0,36.0,116.0,4.16,0.0,,0,1989
"taylor,ja",69.8,174,4.54,,33.0,116.0,4.63,0.0,150.0,79,1989
"crockett,ra",69.3,178,4.61,17.0,,,,0.0,86.0,214,1989
"miller,jo",73.0,187,4.75,4.0,29.5,102.0,4.24,0.0,,0,1989
"brooks,mi",71.4,188,4.59,9.0,33.0,102.0,4.77,0.0,,0,1989
"gilliam,me",71.5,173,4.72,8.0,31.5,106.0,4.3,0.0,,0,1989
"atwater,st",75.5,212,4.63,7.0,37.5,114.0,4.14,1.0,20.0,167,1989
"foster,ma",71.1,192,4.62,16.0,,110.0,4.4,0.0,,0,1989
"hall,da",73.6,204,4.71,14.0,35.0,121.0,4.29,0.0,,0,1989
"jackson,jo",73.0,204,4.69,16.0,27.5,108.0,4.66,0.0,122.0,54,1989
"lake,ca",72.8,205,4.36,15.0,35.5,117.0,4.29,0.0,34.0,185,1989
"butler,to",70.5,182,4.73,14.0,33.5,114.0,4.28,0.0,,0,1989
"coleman,er",71.5,183,4.55,9.0,41.0,130.0,3.91,0.0,43.0,15,1989
"seals,ma",72.8,201,4.65,10.0,33.0,118.0,4.36,0.0,,0,1989
"oliver,lo",74.1,224,4.44,,38.5,116.0,4.09,0.0,25.0,117,1989
"henley,da",68.6,159,4.59,,33.5,114.0,,0.0,53.0,76,1989
"carrington,da",73.6,187,4.54,12.0,34.2,118.0,4.0,0.0,134.0,112,1989
"jackson,gr",72.4,198,4.72,14.0,32.0,114.0,4.2,0.0,78.0,168,1989
"johnson,dj",71.9,179,4.61,10.0,36.0,116.0,4.21,0.0,174.0,117,1989
"paul,ma",74.1,199,4.68,9.0,38.0,117.0,4.3,0.0,95.0,71,1989
"ellis,do",71.5,184,4.86,,,,,0.0,,0,1989
"broady,ti",71.0,209,4.59,17.0,34.0,114.0,4.34,0.0,,0,1989
"streeter,ge",73.4,217,4.77,18.0,36.0,110.0,4.24,0.0,304.0,8,1989
"massey,ro",70.4,185,4.49,11.0,34.0,115.0,4.44,0.0,46.0,133,1989
"sanders,de",71.8,182,4.29,,,,,1.0,5.0,188,1989
"greene,a",67.9,164,4.58,13.0,32.5,115.0,4.1,0.0,,0,1989
"rice,ro",67.4,180,4.65,,35.0,113.0,4.38,0.0,210.0,26,1989
"jackson,ti",71.3,193,4.75,9.0,32.0,115.0,4.31,0.0,224.0,1,1989
"turner,ma",72.4,191,4.65,9.0,33.0,106.0,,0.0,283.0,86,1989
"hurst,ma",69.8,180,4.58,12.0,29.0,107.0,4.41,0.0,96.0,105,1989
"hale,ch",67.6,161,4.52,8.0,40.5,129.0,4.11,0.0,193.0,43,1989
"phillips,ki",69.9,185,4.54,6.0,38.0,125.0,4.13,0.0,79.0,6,1989
"nicholson,ca",69.5,181,4.52,11.0,31.0,109.0,4.53,0.0,300.0,9,1989
"lyons,ro",74.1,200,4.77,11.0,32.0,108.0,4.43,0.0,,0,1989
"woolford,do",69.6,187,4.59,12.0,38.0,124.0,4.34,0.0,11.0,126,1989
"holmes,da",73.0,188,4.63,8.0,38.5,121.0,4.17,0.0,92.0,0,1989
"johnson,ed",69.5,169,4.67,13.0,33.5,117.0,4.44,0.0,,0,1989
"mcdowell,bu",72.6,194,4.63,13.0,37.5,121.0,4.05,0.0,77.0,102,1989
"jackson,al",72.0,177,4.61,,33.5,117.0,4.45,0.0,135.0,45,1989
"kendrick,ke",72.8,202,4.69,10.0,32.5,115.0,4.32,0.0,,0,1989
"newton,fa",73.8,200,4.78,,32.5,116.0,4.59,0.0,,0,1989
"shelton,ri",70.0,180,4.52,13.0,39.0,125.0,4.39,0.0,292.0,44,1989
"reese,re",71.8,201,4.67,14.0,33.5,116.0,4.35,0.0,,0,1990
"jones,ad",71.3,179,4.67,9.0,31.5,117.0,4.31,0.0,,0,1990
"terrell,pa",72.3,195,4.53,,35.5,121.0,3.93,0.0,49.0,139,1990
"boysaw,gr",73.0,211,4.64,15.0,28.5,110.0,4.03,0.0,,0,1990
"hargrove,la",68.1,163,4.64,10.0,31.0,112.0,4.25,0.0,,0,1990
"whitmore,da",72.0,235,4.65,16.0,32.0,112.0,4.65,0.0,107.0,64,1990
"hunter,ar",70.1,191,4.67,19.0,29.0,106.0,4.38,0.0,,0,1990
"price,mi",69.1,181,4.58,,34.0,123.0,4.16,0.0,234.0,41,1990
"dorn,to",72.5,194,4.57,9.0,34.5,117.0,4.13,0.0,95.0,83,1990
"hampton,al",70.1,197,4.57,12.0,30.0,113.0,4.13,0.0,104.0,25,1990
"williams,pa",73.5,197,4.62,10.0,32.5,112.0,4.4,0.0,,0,1990
"blackmon,ro",71.3,198,4.59,12.0,33.5,119.0,4.27,0.0,34.0,135,1990
"robinson,ro",72.5,185,4.73,11.0,28.5,112.0,4.2,0.0,,0,1990
"odegard,do",71.0,177,4.6,14.0,31.5,115.0,4.02,0.0,150.0,30,1990
